0  1  2  3  4  5  6  7  8  9  10  11  12  13 
 3  6  0  5  10  4  13  9  2  7  12  1  8  11 
 8  0  10  11  12  9  5  2  4  13  3  6  7  1 
 9  7  8  1  6  10  11  13  12  2  0  5  4  3 
 6  9  13  7  2  0  8  11  10  4  1  12  3  5 
 11  8  3  4  13  7  0  12  9  10  5  2  1  6 
 5  4  1  9  11  13  12  10  7  8  6  3  0  2 
 2  10  5  0  9  6  1  3  13  12  7  8  11  4 
 1  12  9  8  7  3  2  4  5  6  11  10  13  0 
 12  13  4  6  5  8  3  1  0  11  9  7  2  10 
 4  5  11  2  3  12  10  8  1  0  13  9  6  7 
 13  2  12  10  0  11  7  6  3  1  8  4  5  9 
 10  11  7  13  8  1  4  5  6  3  2  0  9  12 
 7  3  6  12  1  2  9  0  11  5  4  13  10  8

