0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
2 10 3 1 0 6 9 8 5 7 4 12 15 14 11 13 17 20 19 16 18 
4 2 1 10 3 7 8 6 9 5 0 13 14 12 15 11 18 19 17 20 16 
1 3 0 4 10 9 7 5 6 8 2 15 13 11 12 14 20 18 16 17 19 
3 4 10 0 2 8 5 9 7 6 1 14 11 15 13 12 19 16 20 18 17 
11 12 13 14 15 20 17 19 3 18 16 10 1 4 2 0 5 6 7 8 9 
12 15 14 11 13 19 16 3 17 20 18 1 0 2 10 4 6 9 8 5 7 
13 14 12 15 11 18 19 17 16 3 20 4 2 1 0 10 7 8 6 9 5 
15 13 11 12 14 17 3 20 18 16 19 0 4 10 1 2 9 7 5 6 8 
14 11 15 13 12 3 18 16 20 19 17 2 10 0 4 1 8 5 9 7 6 
10 0 4 2 1 16 20 18 19 17 3 5 9 7 8 6 11 15 13 14 12 
16 17 18 19 20 11 12 13 14 15 5 9 6 8 3 7 10 1 4 2 0 
17 20 19 16 18 12 15 14 11 13 7 8 5 3 6 9 1 0 2 10 4 
18 19 17 20 16 13 14 12 15 11 9 7 8 6 5 3 4 2 1 0 10 
20 18 16 17 19 15 13 11 12 14 8 6 3 9 7 5 0 4 10 1 2 
19 16 20 18 17 14 11 15 13 12 6 3 7 5 9 8 2 10 0 4 1 
5 6 7 8 9 10 1 4 2 0 11 16 17 18 19 20 15 12 14 3 13 
6 9 8 5 7 1 0 2 10 4 13 17 20 19 16 18 14 11 3 12 15 
7 8 6 9 5 4 2 1 0 10 15 18 19 17 20 16 13 14 12 11 3 
9 7 5 6 8 0 4 10 1 2 14 20 18 16 17 19 12 3 15 13 11 
8 5 9 7 6 2 10 0 4 1 12 19 16 20 18 17 3 13 11 15 14
