isLK: 1
isDLK: 1
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
8 15 1 2 3 4 13 6 12 10 9 7 14 5 11 0 
10 12 11 1 2 3 14 13 7 8 6 5 0 9 15 4 
13 8 7 9 1 2 5 14 6 12 0 15 10 11 4 3 
15 14 12 6 10 1 0 5 13 7 11 8 9 4 3 2 
9 11 5 7 13 8 15 0 14 6 12 10 4 3 2 1 
5 0 15 11 9 10 3 4 1 2 14 13 6 7 12 8 
14 5 0 15 11 9 2 1 4 3 13 6 7 12 8 10 
6 13 14 5 0 15 4 3 2 1 7 12 8 10 9 11 
11 9 10 8 12 7 1 2 3 4 15 0 5 14 13 6 
1 2 3 4 14 0 7 12 10 11 5 9 15 8 6 13 
2 3 4 13 5 6 12 8 9 15 1 14 11 0 10 7 
3 4 6 14 7 12 8 10 11 0 2 1 13 15 5 9 
4 7 13 12 8 11 10 9 15 5 3 2 1 6 0 14 
12 6 8 10 15 13 9 11 0 14 4 3 2 1 7 5 
7 10 9 0 6 14 11 15 5 13 8 4 3 2 1 12 
num_trans: 1879316
